probe	coef	hr	p	significant
cg20442697	-0.301935114598851	0.7393860386928398	0.0007869409940882	True
cg17791651	-0.3093546047710703	0.7339204721765412	0.0007906792424286	True
cg02724472	-0.2946700488015369	0.7447772870877006	0.0009066378192641	True
cg21274025	-0.2953899642966062	0.7442413033330046	0.0012159893229666	True
cg15227982	-0.3149297003601874	0.729840179967422	0.0016879253679474	True
cg10092957	-0.3234544922521333	0.723644888622212	0.0018585593944974	True
cg06690548	-0.2788850012808341	0.7566269093376154	0.0022306014755882	True
cg19297232	-0.2851399867455935	0.751908989659281	0.0024681216852325	True
cg03543593	-0.2999903151870639	0.7408253954023477	0.0030420868768378	True
cg01031400	-0.2906991646803256	0.7477405909652322	0.0031182914723778	True
cg22783363	-0.2933349816628937	0.7457722788118866	0.0033147093217134	True
cg11947493	-0.2821823422207249	0.7541361611329589	0.0033828393918426	True
cg01185080	-0.2780001359242097	0.7572967185793705	0.003600387181352	True
cg20922422	-0.2735784999276485	0.7606526228362831	0.0043193713874982	True
cg07197059	-0.261242254300834	0.7700943383504214	0.0043953749803917	True
cg17800442	-0.3142626554099336	0.7303271785808871	0.0045809678361291	True
cg21410991	0.2926873598290104	1.34002377967169	0.0046538067218055	True
cg24389359	-0.2372320752413075	0.7888082039195183	0.0067648232714722	True
cg06339657	-0.2500086807947598	0.7787940224909919	0.0072318163193289	True
cg11323198	0.2335808275416426	1.2631149182386547	0.0075389709886024	True
cg02228185	-0.2666853906589617	0.7659139972626043	0.0081126532501111	True
cg00727590	-0.2767587488128133	0.7582374007198578	0.0082616895716252	True
cg19947621	-0.2483342370058877	0.7800991616909345	0.0082848221123205	True
cg16232126	0.2585336452333029	1.2950297206969783	0.0088912343974448	True
cg16302441	-0.2427328528207653	0.7844810576825008	0.009547690471537	True
cg00563926	-0.2471667612330261	0.7810104404070439	0.009606981484602	True
cg25511807	-0.2552120521319055	0.7747521926868971	0.0096531726963727	True
cg08519905	-0.2438075482126275	0.7836384323686777	0.0097095114916309	True
cg18794577	0.2466155080831277	1.2796869888721527	0.009860717903015	True
cg05467458	-0.2351911994219532	0.7904197073888883	0.0099519807895631	True
cg05213296	-0.2490466945195532	0.7795435721222662	0.0101833700039892	True
cg26583078	-0.2399416272887276	0.7866737800077598	0.0102751925251357	True
cg17606785	-0.268615334276531	0.7644372519079836	0.0108786532680769	True
cg08427977	-0.2657307476851825	0.7666455207949546	0.0113180093112999	True
cg08128768	0.2369460880087859	1.267372789342755	0.0120429206630957	True
cg24793265	-0.2250336820180703	0.798489323574612	0.0125404439876699	True
cg09499849	-0.2446133200113354	0.7830072529469307	0.013100256679896	True
cg10942056	-0.221849722600136	0.8010357328572303	0.013801259818493	True
cg18486150	-0.2461061157454661	0.7818392550679648	0.0138062011728343	True
cg04001333	-0.2412739958599873	0.785626338531447	0.014528576942306	True
cg08762247	-0.2545805944421209	0.7752415704110491	0.0147219855170184	True
cg24576425	-0.2748340118125232	0.7596982136894348	0.0149205351813662	True
cg08331313	-0.2414173639313522	0.785513712872133	0.015602610323746	True
cg22197830	-0.2268091815048352	0.7970728640241241	0.0157831505864429	True
cg07958192	-0.2183571765791234	0.8038382781792079	0.0159370507295647	True
cg19205041	-0.2169155406420185	0.8049979560444468	0.0160301268857282	True
cg26511075	-0.2610660521227743	0.7702300426054918	0.0184529012966513	True
cg24794433	0.2189625079836489	1.2447846063278398	0.0184552582071788	True
cg06244906	0.2183576057395219	1.2440318610176335	0.0185984361377287	True
cg06493386	0.2243867035772587	1.2515549066214042	0.019108422099612	True
cg25608949	-0.2352734253939115	0.7903547170321775	0.0196981827175511	True
cg14614211	0.2338751469134343	1.2634867321412244	0.0199893695086198	True
cg17016000	-0.2263933113743748	0.7974044117556931	0.0200787202068725	True
cg26917999	-0.2248718257703232	0.7986185745201462	0.0202450271097599	True
cg02719634	-0.2118388282307685	0.8090950903455876	0.0202516558403035	True
cg22705954	-0.2375106896772342	0.7885884611799001	0.0208009998831803	True
cg14892768	-0.2361578584384802	0.7896560102287415	0.0218473615807153	True
cg04632671	0.2206471144635933	1.246883345820535	0.0220455487167855	True
cg13912117	0.2209896283722651	1.2473104938568655	0.0222057199594898	True
cg14209518	-0.2212993880512254	0.8014766918222808	0.0225554275902594	True
cg16739580	-0.228195887030021	0.7959683246920015	0.0230102267410617	True
cg08261841	-0.218580907241056	0.8036584550258709	0.0233672904305125	True
cg14289461	-0.215184362583861	0.8063927578195778	0.0235165467376006	True
cg26656135	0.214268635985897	1.2389554381082628	0.0243139769943203	True
cg09837943	0.2100588788956373	1.2337506996969383	0.0243437068177691	True
cg23771603	0.2205390284703044	1.2467485824787323	0.0247929650548652	True
cg09331011	0.2166705441503781	1.241934872021401	0.0249374300349483	True
cg04315771	-0.2103152095730081	0.8103287823205368	0.0251271310668115	True
cg22731373	-0.2208186760117009	0.8018620639365244	0.0252201350138961	True
cg08615333	-0.2229090251741134	0.8001876429148013	0.0252665487298934	True
cg14912575	-0.2306319827873085	0.7940316295784452	0.0255695306458557	True
cg02988947	-0.2060250445208997	0.8138126944786602	0.02597418884797	True
cg02595219	-0.2292104851172303	0.795161146302358	0.0275612917171526	True
cg08820801	-0.2230596237725934	0.8000671448509048	0.0277865244361352	True
cg01805540	0.1802317689004437	1.197494873031494	0.0282359653357756	True
cg24110050	-0.2260328556226677	0.7976918925712911	0.0288883213885297	True
cg06469542	-0.2261526356748452	0.7975963507168957	0.0292202157941204	True
cg00431050	-0.2113478432881335	0.8094924413908149	0.0293452989843117	True
cg21400640	-0.2169209198129131	0.8049936258345178	0.0293766654706053	True
